State,2022 MHI,2022 Population,2022 Median Sale Price,Price Per Capital
Month of Period End,,,173000.0,
Month of Period End.1,,,197000.0,
Month of Period End.10,,,198000.0,
Month of Period End.100,,,272000.0,
Month of Period End.101,,,272000.0,
Month of Period End.102,,,344000.0,
Month of Period End.103,,,382000.0,
Month of Period End.104,,,369000.0,
Month of Period End.105,,,375000.0,
Month of Period End.106,,,420000.0,
Month of Period End.107,,,359000.0,
Month of Period End.108,,,332000.0,
Month of Period End.109,,,374000.0,
Month of Period End.11,,,228000.0,
Month of Period End.110,,,333000.0,
Month of Period End.111,,,352000.0,
Month of Period End.112,,,320000.0,
Month of Period End.113,,,338000.0,
Month of Period End.114,,,367000.0,
Month of Period End.115,,,366000.0,
Month of Period End.116,,,373000.0,
Month of Period End.117,,,416000.0,
Month of Period End.118,,,472000.0,
Month of Period End.119,,,377000.0,
Month of Period End.12,,,171000.0,
Month of Period End.120,,,312000.0,
Month of Period End.121,,,388000.0,
Month of Period End.122,,,380000.0,
Month of Period End.123,,,383000.0,
Month of Period End.124,,,431000.0,
Month of Period End.125,,,379000.0,
Month of Period End.126,,,361000.0,
Month of Period End.127,,,385000.0,
Month of Period End.128,,,410000.0,
Month of Period End.129,,,453000.0,
Month of Period End.13,,,155000.0,
Month of Period End.130,,,467000.0,
Month of Period End.131,,,350000.0,
Month of Period End.132,,,441000.0,
Month of Period End.133,,,365000.0,
Month of Period End.134,,,450000.0,
Month of Period End.135,,,345000.0,
Month of Period End.136,,,428000.0,
Month of Period End.137,,,448000.0,
Month of Period End.138,,,408000.0,
Month of Period End.139,,,416000.0,
Month of Period End.14,,,191000.0,
Month of Period End.140,,,429000.0,
Month of Period End.141,,,469000.0,
Month of Period End.142,,,424000.0,
Month of Period End.143,,,401000.0,
Month of Period End.144,,,372000.0,
Month of Period End.145,,,420000.0,
Month of Period End.146,,,366000.0,
Month of Period End.147,,,416000.0,
Month of Period End.148,,,394000.0,
Month of Period End.149,,,415000.0,
Month of Period End.15,,,218000.0,
Month of Period End.150,,,408000.0,
Month of Period End.151,,,410000.0,
Month of Period End.152,,,491000.0,
Month of Period End.153,,,512000.0,
Month of Period End.154,,,433000.0,
Month of Period End.155,,,467000.0,
Month of Period End.156,,,415000.0,
Month of Period End.157,,,484000.0,
Month of Period End.16,,,186000.0,
Month of Period End.17,,,204000.0,
Month of Period End.18,,,189000.0,
Month of Period End.19,,,207000.0,
Month of Period End.2,,,173000.0,
Month of Period End.20,,,195000.0,
Month of Period End.21,,,195000.0,
Month of Period End.22,,,202000.0,
Month of Period End.23,,,207000.0,
Month of Period End.24,,,203000.0,
Month of Period End.25,,,207000.0,
Month of Period End.26,,,178000.0,
Month of Period End.27,,,190000.0,
Month of Period End.28,,,195000.0,
Month of Period End.29,,,233000.0,
Month of Period End.3,,,204000.0,
Month of Period End.30,,,175000.0,
Month of Period End.31,,,216000.0,
Month of Period End.32,,,230000.0,
Month of Period End.33,,,299000.0,
Month of Period End.34,,,283000.0,
Month of Period End.35,,,286000.0,
Month of Period End.36,,,269000.0,
Month of Period End.37,,,336000.0,
Month of Period End.38,,,276000.0,
Month of Period End.39,,,273000.0,
Month of Period End.4,,,207000.0,
Month of Period End.40,,,274000.0,
Month of Period End.41,,,285000.0,
Month of Period End.42,,,251000.0,
Month of Period End.43,,,269000.0,
Month of Period End.44,,,311000.0,
Month of Period End.45,,,313000.0,
Month of Period End.46,,,299000.0,
Month of Period End.47,,,252000.0,
Month of Period End.48,,,282000.0,
Month of Period End.49,,,254000.0,
Month of Period End.5,,,155000.0,
Month of Period End.50,,,274000.0,
Month of Period End.51,,,263000.0,
Month of Period End.52,,,256000.0,
Month of Period End.53,,,271000.0,
Month of Period End.54,,,249000.0,
Month of Period End.55,,,273000.0,
Month of Period End.56,,,246000.0,
Month of Period End.57,,,263000.0,
Month of Period End.58,,,243000.0,
Month of Period End.59,,,242000.0,
Month of Period End.6,,,172000.0,
Month of Period End.60,,,248000.0,
Month of Period End.61,,,235000.0,
Month of Period End.62,,,250000.0,
Month of Period End.63,,,256000.0,
Month of Period End.64,,,243000.0,
Month of Period End.65,,,243000.0,
Month of Period End.66,,,262000.0,
Month of Period End.67,,,262000.0,
Month of Period End.68,,,249000.0,
Month of Period End.69,,,249000.0,
Month of Period End.7,,,179000.0,
Month of Period End.70,,,254000.0,
Month of Period End.71,,,298000.0,
Month of Period End.72,,,242000.0,
Month of Period End.73,,,260000.0,
Month of Period End.74,,,239000.0,
Month of Period End.75,,,275000.0,
Month of Period End.76,,,266000.0,
Month of Period End.77,,,280000.0,
Month of Period End.78,,,281000.0,
Month of Period End.79,,,268000.0,
Month of Period End.8,,,184000.0,
Month of Period End.80,,,285000.0,
Month of Period End.81,,,280000.0,
Month of Period End.82,,,286000.0,
Month of Period End.83,,,272000.0,
Month of Period End.84,,,327000.0,
Month of Period End.85,,,285000.0,
Month of Period End.86,,,278000.0,
Month of Period End.87,,,238000.0,
Month of Period End.88,,,265000.0,
Month of Period End.89,,,269000.0,
Month of Period End.9,,,202000.0,
Month of Period End.90,,,277000.0,
Month of Period End.91,,,297000.0,
Month of Period End.92,,,302000.0,
Month of Period End.93,,,307000.0,
Month of Period End.94,,,307000.0,
Month of Period End.95,,,297000.0,
Month of Period End.96,,,300000.0,
Month of Period End.97,,,292000.0,
Month of Period End.98,,,292000.0,
Month of Period End.99,,,283000.0,
